Audi A4 | Agile;Audi A4 | City focus;Audi A4 | Economical;Audi A4 | Comfortable;Audi A4 | Versatile;Audi A4 | Practical;Audi A4 | Reliable;Audi A4 | Safe;Audi A4 | Sustainable;Audi A4 | Powerful;Audi A4 | Status symbol;Audi A4 | Technically advanced;Audi A4 | Attractive;Audi A4 | Nice design;Audi A4 | Original;BMW X5 | Agile;BMW X5 | City focus;BMW X5 | Economical;BMW X5 | Comfortable;BMW X5 | Versatile;BMW X5 | Practical;BMW X5 | Reliable;BMW X5 | Safe;BMW X5 | Sustainable;BMW X5 | Powerful;BMW X5 | Status symbol;BMW X5 | Technically advanced;BMW X5 | Attractive;BMW X5 | Nice design;BMW X5 | Original;Citroen C4 Picasso | Agile;Citroen C4 Picasso | City focus;Citroen C4 Picasso | Economical;Citroen C4 Picasso | Comfortable;Citroen C4 Picasso | Versatile;Citroen C4 Picasso | Practical;Citroen C4 Picasso | Reliable;Citroen C4 Picasso | Safe;Citroen C4 Picasso | Sustainable;Citroen C4 Picasso | Powerful;Citroen C4 Picasso | Status symbol;Citroen C4 Picasso | Technically advanced;Citroen C4 Picasso | Attractive;Citroen C4 Picasso | Nice design;Citroen C4 Picasso | Original;Fiat 500 | Agile;Fiat 500 | City focus;Fiat 500 | Economical;Fiat 500 | Comfortable;Fiat 500 | Versatile;Fiat 500 | Practical;Fiat 500 | Reliable;Fiat 500 | Safe;Fiat 500 | Sustainable;Fiat 500 | Powerful;Fiat 500 | Status symbol;Fiat 500 | Technically advanced;Fiat 500 | Attractive;Fiat 500 | Nice design;Fiat 500 | Original;Ford Focus Cmax | Agile;Ford Focus Cmax | City focus;Ford Focus Cmax | Economical;Ford Focus Cmax | Comfortable;Ford Focus Cmax | Versatile;Ford Focus Cmax | Practical;Ford Focus Cmax | Reliable;Ford Focus Cmax | Safe;Ford Focus Cmax | Sustainable;Ford Focus Cmax | Powerful;Ford Focus Cmax | Status symbol;Ford Focus Cmax | Technically advanced;Ford Focus Cmax | Attractive;Ford Focus Cmax | Nice design;Ford Focus Cmax | Original;Mazda MX5 | Agile;Mazda MX5 | City focus;Mazda MX5 | Economical;Mazda MX5 | Comfortable;Mazda MX5 | Versatile;Mazda MX5 | Practical;Mazda MX5 | Reliable;Mazda MX5 | Safe;Mazda MX5 | Sustainable;Mazda MX5 | Powerful;Mazda MX5 | Status symbol;Mazda MX5 | Technically advanced;Mazda MX5 | Attractive;Mazda MX5 | Nice design;Mazda MX5 | Original;Mercedes C-class | Agile;Mercedes C-class | City focus;Mercedes C-class | Economical;Mercedes C-class | Comfortable;Mercedes C-class | Versatile;Mercedes C-class | Practical;Mercedes C-class | Reliable;Mercedes C-class | Safe;Mercedes C-class | Sustainable;Mercedes C-class | Powerful;Mercedes C-class | Status symbol;Mercedes C-class | Technically advanced;Mercedes C-class | Attractive;Mercedes C-class | Nice design;Mercedes C-class | Original;Mini Cooper | Agile;Mini Cooper | City focus;Mini Cooper | Economical;Mini Cooper | Comfortable;Mini Cooper | Versatile;Mini Cooper | Practical;Mini Cooper | Reliable;Mini Cooper | Safe;Mini Cooper | Sustainable;Mini Cooper | Powerful;Mini Cooper | Status symbol;Mini Cooper | Technically advanced;Mini Cooper | Attractive;Mini Cooper | Nice design;Mini Cooper | Original;Nissan Qashgai | Agile;Nissan Qashgai | City focus;Nissan Qashgai | Economical;Nissan Qashgai | Comfortable;Nissan Qashgai | Versatile;Nissan Qashgai | Practical;Nissan Qashgai | Reliable;Nissan Qashgai | Safe;Nissan Qashgai | Sustainable;Nissan Qashgai | Powerful;Nissan Qashgai | Status symbol;Nissan Qashgai | Technically advanced;Nissan Qashgai | Attractive;Nissan Qashgai | Nice design;Nissan Qashgai | Original;Opel Corsa | Agile;Opel Corsa | City focus;Opel Corsa | Economical;Opel Corsa | Comfortable;Opel Corsa | Versatile;Opel Corsa | Practical;Opel Corsa | Reliable;Opel Corsa | Safe;Opel Corsa | Sustainable;Opel Corsa | Powerful;Opel Corsa | Status symbol;Opel Corsa | Technically advanced;Opel Corsa | Attractive;Opel Corsa | Nice design;Opel Corsa | Original;Renault Espace | Agile;Renault Espace | City focus;Renault Espace | Economical;Renault Espace | Comfortable;Renault Espace | Versatile;Renault Espace | Practical;Renault Espace | Reliable;Renault Espace | Safe;Renault Espace | Sustainable;Renault Espace | Powerful;Renault Espace | Status symbol;Renault Espace | Technically advanced;Renault Espace | Attractive;Renault Espace | Nice design;Renault Espace | Original;Toyota Prius | Agile;Toyota Prius | City focus;Toyota Prius | Economical;Toyota Prius | Comfortable;Toyota Prius | Versatile;Toyota Prius | Practical;Toyota Prius | Reliable;Toyota Prius | Safe;Toyota Prius | Sustainable;Toyota Prius | Powerful;Toyota Prius | Status symbol;Toyota Prius | Technically advanced;Toyota Prius | Attractive;Toyota Prius | Nice design;Toyota Prius | Original;Volkswagen Golf | Agile;Volkswagen Golf | City focus;Volkswagen Golf | Economical;Volkswagen Golf | Comfortable;Volkswagen Golf | Versatile;Volkswagen Golf | Practical;Volkswagen Golf | Reliable;Volkswagen Golf | Safe;Volkswagen Golf | Sustainable;Volkswagen Golf | Powerful;Volkswagen Golf | Status symbol;Volkswagen Golf | Technically advanced;Volkswagen Golf | Attractive;Volkswagen Golf | Nice design;Volkswagen Golf | Original;Volvo V50 | Agile;Volvo V50 | City focus;Volvo V50 | Economical;Volvo V50 | Comfortable;Volvo V50 | Versatile;Volvo V50 | Practical;Volvo V50 | Reliable;Volvo V50 | Safe;Volvo V50 | Sustainable;Volvo V50 | Powerful;Volvo V50 | Status symbol;Volvo V50 | Technically advanced;Volvo V50 | Attractive;Volvo V50 | Nice design;Volvo V50 | Original
0;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;0
0;0;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1
0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0
1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0
0;0;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0
0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0
1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
